name,description,price,category,tags/0,tags/1,tags/2,type,tags/3,tags/4,tags/5
Chicken Tikka Masala,Chunks of chicken cooked in a creamy tomato-based sauce with Indian spices,12.99,Entree,chicken,spicy,Indian,Indian,,,
Paneer Makhani,Cubes of paneer (Indian cheese) in a rich tomato-based sauce,10.99,Entree,vegetarian,Indian,,Indian,,,
Butter Chicken,"Tender chicken pieces cooked in a creamy, buttery tomato sauce",13.99,Entree,chicken,Indian,,Indian,,,
Chana Masala,Chickpeas in a spiced tomato-based sauce,9.99,Entree,vegetarian,spicy,Indian,Indian,,,
Saag Paneer,Cubes of paneer in a spinach-based sauce,11.99,Entree,vegetarian,Indian,,Indian,,,
Lamb Curry,Tender pieces of lamb in a spiced curry sauce,14.99,Entree,lamb,spicy,Indian,Indian,,,
Chicken Biryani,Basmati rice with tender chicken pieces and Indian spices,11.99,Entree,chicken,spicy,Indian,Indian,rice,,
Palak Paneer,Cubes of paneer in a spiced spinach-based sauce,11.99,Entree,vegetarian,Indian,,Indian,,,
Aloo Gobi,Potatoes and cauliflower in a spiced tomato-based sauce,9.99,Entree,vegetarian,spicy,Indian,Indian,,,
Vegetable Korma,"Mixed vegetables in a creamy, spiced sauce",10.99,Entree,vegetarian,Indian,,Indian,,,
Tandoori Chicken,Marinated chicken cooked in a traditional tandoor oven,13.99,Entree,chicken,spicy,Indian,Indian,,,
Hyderabadi Dum Biryani,"Aromatic and spicy Hyderabadi-style biryani made with basmati rice and marinated chicken, cooked to perfection",12.99,Biryani,spicy,chicken,rice,indian,Hyderabadi,,
Butter Chicken,"A classic North Indian dish made with succulent pieces of chicken cooked in a creamy tomato-based sauce, flavored with aromatic spices",11.99,Curry,spicy,chicken,cream,indian,tomato,North Indian,
Palak Paneer,"A popular vegetarian dish from North India made with fresh spinach and cubes of paneer (Indian cottage cheese), cooked in a creamy tomato-based sauce",9.99,Vegetarian,spinach,paneer,creamy,indian,North Indian,,
Samosa Chaat,"A popular street food in India made with crispy samosas, topped with a spicy and tangy chutney, yogurt, and a mix of veggies and spices",5.99,Appetizer,spicy,vegetarian,street food,indian,chaat,,
Masala Dosa,"A thin and crispy South Indian crepe made with fermented rice and lentil batter, stuffed with a spiced potato filling, served with coconut chutney and sambar",8.99,Breakfast,South Indian,vegetarian,crepe,indian,potato,coconut chutney,
